mname,mid,mnumber,brand,record,family,line,weight,min_weight,max_weight
Flyability Range Extender Module,a370o00000397Yl,MAGICREX,DJI,Remote,Lightbridge,Lightbridge 2,,,
Phantom 4 Intelligent Flight Battery,a370o00000397Yw,PH4-5350mAh,DJI,Battery,Phantom,Phantom 4,,,
Phantom 4,a370o00000397Z0,WM330A,DJI,Drone,Phantom,Phantom 4,0.918,1.38,
Phantom 4 Advanced,a370o00000397ZA,WM332A,DJI,Drone,Phantom,Phantom 4,0.9,1.362,
Phantom 4 Pro V2.0,a370o00000397ZB,WM331S,DJI,Drone,Phantom,Phantom 4,0.907,1.369,
Phantom 4 Pro,a370o00000397ZF,WM331A,DJI,Drone,Phantom,Phantom 4,0.92,1.382,
Phantom 4 Pro V2.0 Remote,a370o00000397ZG,GL300L,DJI,Remote,Phantom,Phantom 4,,,
Phantom 4 High Capacity Intelligent Flight Battery,a370o00000397ZK,PH4HC-5870mAh,DJI,Battery,Phantom,Phantom 4,,,
Smart Controller,a370o00000397ZP,RM500,DJI,Remote,Mavic,Mavic 2,,,
Phantom 4 Pro/Advanced Plus Remote,a370o00000397ZQ,GL300E,DJI,Remote,Phantom,Phantom 4,,,
Phantom 4 Pro V2.0 Plus Remote,a370o00000397ZU,GL300K,DJI,Remote,Phantom,Phantom 4,,,
Phantom 4 Pro/Advanced Remote,a370o00000397ZZ,GL300C ver B,DJI,Remote,Phantom,Phantom 4,,,
Inspire 1,a370o00000397Za,T600,DJI,Drone,Inspire,Inspire 1,2.28,2.85,3.06
Phantom 4 Pro/Advanced Remote,a370o00000397Ze,GL300F,DJI,Remote,Phantom,Phantom 4,,,
Inspire 1 Remote,a370o00000397Zj,GL658A,DJI,Remote,Inspire,Inspire 1,,,
Inspire 1 Remote,a370o00000397Zk,GL658B,DJI,Remote,Inspire,Inspire 1,,,
Inspire 1 Remote,a370o00000397Zt,GL658C,DJI,Remote,Inspire,Inspire 1,,,
Inspire 2 V2.0,a370o00000397Zu,T650A,DJI,Drone,Inspire,Inspire 2,2.41,3.44,4.25
Phantom 3 Remote,a370o00000397Zy,GL300A,DJI,Remote,Phantom,Phantom 3,,,
Cendence Remote Controller,a370o00000397Zz,GL800A,DJI,Remote,Inspire,Inspire 2,,,
Inspire 2 TB50 Intelligent Flight Battery,a370o00000397a0,TB50-I2,DJI,Battery,Inspire,Inspire 2,,,
Phantom 3 Remote,a370o00000397a3,GL300B,DJI,Remote,Phantom,Phantom 3,,,
Phantom 3 Remote,a370o00000397a8,GL300C,DJI,Remote,Phantom,Phantom 3,,,
Inspire 2 Remote,a370o00000397a9,GL6D10A,DJI,Remote,Inspire,Inspire 2,,,
Inspire 2 V1.0,a370o00000397aI,T650,DJI,Drone,Inspire,Inspire 2,2.41,3.44,4.25
Inspire 1 Intelligent Flight Battery,a370o00000397aS,TB47,DJI,Battery,Inspire,Inspire 1,,,
Inspire 1 High Capacity Intelligent Flight Battery,a370o00000397ar,TB48,DJI,Battery,Inspire,Inspire 1,,,
Inspire 1 Pro,a370o00000397as,T600,DJI,Drone,Inspire,Inspire 1,2.28,2.85,3.06
Inspire 1 V2.0,a370o00000397b1,T601,DJI,Drone,Inspire,Inspire 1,2.28,2.85,3.06
Phantom 4 RTK,a370o00000397bp,WM334R,DJI,Drone,Phantom,Phantom 4,0.923,1.385,
Phantom 4 RTK Remote,a370o00000397bz,GL300N,DJI,Remote,Phantom,Phantom 4,,,
Phantom 4 Multispectral,a370o00000397cJ,WM336,DJI,Drone,Phantom,Phantom 4,1.019,1.481,
Matrice 210,a370o00000397e5,M210,DJI,Drone,Matrice,Matrice 200,2.677,3.717,6.14
Matrice 210 RTK,a370o00000397eA,M210RTK,DJI,Drone,Matrice,Matrice 200,3.26,4.3,6.14
Matrice 200 TB50 Intelligent Flight Battery,a370o00000397eK,TB50-M200,DJI,Battery,Inspire,Inspire 2,,,
Matrice 200 TB55 Intelligent Flight Battery,a370o00000397ee,TB55-M200,DJI,Battery,Matrice,Matrice 200,,,
Matrice 200 Single Downwards Gimbal Adapter,a370o00000397eo,,DJI,Payload,Matrice,Matrice 200,,,
Matrice 200 Single Upward Gimbal Connector,a370o00000397et,,DJI,Payload,Matrice,Matrice 200,,,
Matrice 200 Dual Downwards Gimbal Connector,a370o00000397ey,,DJI,Payload,Matrice,Matrice 200,,,
Matrice 200 V2,a370o00000397gQ,M200V2,DJI,Drone,Matrice,Matrice 200 V2,2.837,4.607,6.14
Cendence S,a370o00000397gV,GL900A,DJI,Remote,Matrice,Matrice 200 V2,,,
Matrice 210 RTK V2,a370o00000397ga,M210RTKV2,DJI,Drone,Matrice,Matrice 200 V2,3.02,4.79,6.14
Mavic Pro,a370o00000398gy,M1P,DJI,Drone,Mavic,Mavic Pro,0.494,0.734,
Mavic Pro Platinum,a370o00000398h3,M1X,DJI,Drone,Mavic,Mavic Pro,0.494,0.734,
Mavic Pro Intelligent Flight Battery,a370o00000398hS,FB1-3830mah-11.4v,DJI,Battery,Mavic,Mavic Pro,,,
Mavic Pro Remote,a370o00000398hX,GL200A,DJI,Remote,Mavic,Mavic Pro,,,
Matrice 300 RTK,a370o00000398hm,M300,DJI,Drone,Matrice,Matrice 300,3.6,6.3,9
Zenmuse H20T,a370o00000398i1,ZH20T,DJI,Payload,Matrice,Matrice 300,,,
Smart Controller Enterprise,a370o00000398i6,RM500-ENT,DJI,Remote,Matrice,Matrice 300,,,
TB60 Intelligent Flight Battery,a370o00000398iT,TB60,DJI,Battery,Matrice,Matrice 300,,,
Zenmuse P1,a370o00000398iU,ZP1,DJI,Payload,Matrice,Matrice 300,,,
Zenmuse L1,a370o00000398id,ZL1,DJI,Payload,Matrice,Matrice 300,,,
Zenmuse H20,a370o00000398ii,ZH20,DJI,Payload,Matrice,Matrice 300,,,
UX11,a370o0000039F1h,UX11,Delair,Drone,UX11,UX11,1,1.5,1.5
UX11Ag,a370o0000039F1m,UX11Ag,Delair,Drone,UX11,UX11,1,1.6,1.6
UX11 Flight Battery,a370o0000039FK5,ELC-000001,Delair,Battery,UX11,UX11,,,
md4-1000,a370o0000039FPY,md4-1000,Microdrones GmBH,Drone,md4-1000,md4-1000,2.9,4.8,6
MDRC,a370o0000039FPd,MDRC,Microdrones GmBH,Remote,md4-1000,md4-1000,,,
md4-1000 Flight Battery,a370o0000039FPi,LP62-154,Microdrones GmBH,Battery,md4-1000,md4-1000,,,
D-RTK 2 High Precision GNSS Mobile Station,a370o0000039NuJ,D-RTK 2,DJI,Accessory,D-RTK,D-RTK 2,,,
BS60 Intelligent Battery Station,a370o0000039NuT,BS60,DJI,Accessory,Matrice,Matrice 300,,,
WB37 Intelligent Battery,a370o0000039Nud,WB37-4920mAh-7.6V,DJI,Battery,DJI Accesories,,,,
FPV Battery Charging Hub,a370o0000039QxA,CHX170-90,DJI,Accessory,FPV,,,,
FPV Remote Controller 2,a370o0000039QxF,FPV Remote Controller 2,DJI,Remote,FPV,,,,
FPV Motion Controller,a370o0000039QxU,,DJI,Remote,FPV,,,,
FPV Goggles V2,a370o0000039Qxe,,DJI,Accessory,FPV,,,,
Karma,a370o0000039Qy3,,GoPro,Drone,Karma,,1.006,1.941,
Karma Battery,a370o0000039Qy8,,GoPro,Battery,Karma,,,,
Karma Remote,a370o0000039Qy9,,GoPro,Remote,Karma,,,,
Karma Stabilizer,a370o0000039QzR,,GoPro,Payload,Karma,,,,
Hexo+ Drone,a370o0000039RdA,Hexo+,Hexo,Drone,Hexo,,1.32,1.7,
Hexo+ Flight Battery,a370o0000039RdF,,Hexo,Battery,Hexo,,,,
Bebop 2,a370o0000039RdK,,Parrot,Drone,Bebop,Bebop 2,0.295,0.485,
Bebop-Pro Thermal,a370o0000039RdZ,,Parrot,Drone,Bebop,Bebop-Pro,0.365,0.6,
Bebop 2 Power Battery,a370o0000039Rde,,Parrot,Battery,Bebop,,,,
Bebop 2 Power FPV Drone,a370o0000039Rdj,,Parrot,Drone,Bebop,Bebop 2,0.295,0.525,
Disco FPV,a370o0000039Rdo,,Parrot,Drone,Disco,,0.562,0.75,
Discos Pro AG,a370o0000039Rdp,,Parrot,Drone,Disco,,0.592,0.78,0.94
Disco Battery,a370o0000039Rdt,PF070250,Parrot,Battery,Disco,,,,
Sequoia,a370o0000039Rdy,Sequoia,Parrot,Payload,Sequoia,,,,
Mambo FPV,a370o0000039Re3,,Parrot,Drone,Mambo,,0.047,0.063,
Mambo Battery,a370o0000039ReI,,Parrot,Battery,Mambo,,,,
Tello,a370o0000039ReN,,DJI,Drone,RYZE,,0.054,0.08,
Tello Battery,a370o0000039ReO,,DJI,Battery,RYZE,,,,
SplashDrone 3+,a370o0000039ReS,,Swellpro Technology Co Ltd,Drone,SplashDrone,SplashDrone 3,0.886,1.447,
SplashDrone 3+ Battery,a370o0000039ReX,,Swellpro Technology Co Ltd,Battery,SplashDrone,SplashDrone 3,,,
TB48D Intelligent Flight Battery,a370o0000039Rjx,TB48D,DJI,Battery,Wind,,,,
